Channel ID,Channel Name,Members,Type,Bot Member
C0B13G5A1PY,proj-2026-kfsi-csp-evaluation,39,public,yes
C092ADLPTS5,proj-academy,42,public,yes
C08AHLAPNR1,proj-acquisition-metrics-experimentation-foundation,26,public,yes
C056EUAK9KJ,proj-adoption-expansion,85,public,yes
C088H3SGTCG,proj-adoption-sharing,103,public,yes
C087U6SDWPM,proj-adoption-usage,83,public,yes
C0AKBMXM6GY,proj-afterburner,120,public,yes
C07MXU5MP7X,proj-agent,489,public,yes
C0A8XS4AKFW,proj-agent-2-0-thumbsdown,31,public,yes
C08DE3MMMNE,proj-agent-alerts,29,public,yes
C0AE7UYJP7D,proj-agent-chat-polish,57,public,yes
C09K2VDQYBV,proj-agent-computer,169,public,yes
C0ATU4R1Q2Y,proj-agent-default-suggestion-pills,32,public,yes
C093EDSS9NE,proj-agent-demos,54,public,yes
C06KDKUD79D,proj-agent-face,61,public,yes
C08DQ9H6HCN,proj-agent-feedback,373,public,yes
C09TDCVF8HW,proj-agent-morning-brief,84,public,yes
C0AS4QDFRT8,proj-agent-page-tool-feedback,22,public,yes
C099XMDKYLT,proj-agent-personalization,109,public,yes
C0B684GQQ90,proj-agent-pubsub,24,public,yes
C09PERTDV4M,proj-agent-retention,75,public,yes
C0AKERTN8F7,proj-agent-revisions,36,public,yes
C0B6D1LPHJ7,proj-agent-runlayer-integration,23,public,yes
C0AQ0J4BP7F,proj-agent-service,109,public,yes
C0AAFMFEQTT,proj-agent-skills-instructions,121,public,yes
C08V02B9TRT,proj-agent-thumbsdown,63,public,yes
C09N600BR9T,proj-agent-use-case-clustering,49,public,yes
C09HQ6KTRAA,proj-agent-websearch,38,public,yes
C096XS0ERU6,proj-ai-agent-video,21,public,yes
C094TBXLE04,proj-ai-analytics,94,public,yes
C08LTCG6SMB,proj-ai-announce,225,public,yes
C07NJ100W2C,proj-ai-co-editing,40,public,yes
C08UH81FKK2,proj-ai-codemodo,54,public,yes
C094R0BSB3K,proj-ai-connectors-qa,24,public,yes
C0923HC3SQJ,proj-ai-content-mod,31,public,yes
C0ACQGV3YKS,proj-ai-datasets,26,public,yes
C08EZV52ARZ,proj-ai-discovery,40,public,yes
C0AKN13DP9S,proj-ai-enablement-authz,33,public,yes
C0AB55CNXDH,proj-ai-enhanced-observability,49,public,yes
C0AT3BURRC6,proj-ai-excellence-wg,32,public,yes
C09V1EDSMAP,proj-ai-external-research,34,public,yes
C0B55RZHX3Q,proj-ai-governance,32,public,yes
C0AL3H5C0PM,proj-ai-growth-engine,38,public,yes
C075LU0B5E2,proj-ai-hipaa,38,public,yes
C0A80M6E9CH,proj-ai-labs-event-series,41,public,yes
C08KE4PJNFJ,proj-ai-may-vipers,25,public,yes
C07RQUE4CRJ,proj-ai-setup-gen,79,public,yes
C076QK89SGZ,proj-ai-student-promo,25,public,yes
C0AFH7M95AA,proj-ai-transformation-model,98,public,yes
C0AU5B5HT63,proj-ai-workflows-vision-zero,27,public,yes
C09H8NCQHQT,proj-airflow-platform,27,public,yes
C0AC5NJF53N,proj-all-trials,63,public,yes
C0A7UCNRXAA,proj-apac-automate-region-provisioning,118,public,yes
C0AED1MBN6L,proj-api-guardrails-and-framework,54,public,yes
C08HRTETZQR,proj-app-builder-gtm-alpha,28,public,yes
C08JWP79FQ9,proj-app-builder-partnerships,24,public,yes
C0AJQ7T97JR,proj-applecart,280,public,yes
C0B72PB7BMG,proj-applecart-editor,38,public,yes
C0AQY84RJ4W,proj-applecart-nds,32,public,yes
C0B18SJ321W,proj-applecart-plans-and-prs,43,public,yes
C0AGXLJCFDG,proj-appsec-external-pentest-2026,59,public,yes
C08HPM5DXPC,proj-archive,22,public,yes
C0A18T6QL5B,proj-archive-content,97,public,yes
C08EZBH3Z43,proj-aso,24,public,yes
C08LNFSFE2J,proj-assign-notion-public-ipv4-on-aws,26,public,yes
C081GTLTJ5S,proj-aws-reinvent,32,public,yes
C08HYV7DE3E,proj-b2c2b,26,public,yes
C0AS0D5TQ3D,proj-big-databases,72,public,yes
C0769SEL0QM,proj-bootstrap-client-statsig,25,public,yes
C0ACHBHJAJV,proj-boxy,275,public,yes
C045ZC5TVS9,proj-browser-dev-tools,40,public,yes
C0AGZM63WG2,proj-bug-resolver,92,public,yes
C089B8HH88G,proj-bundle-size,59,public,yes
C0A4H3BC3FC,proj-ca-tiger-team,59,public,yes
C09QPKA308J,proj-cal-mobile,22,public,yes
C09DQFLAQAY,proj-calendar-ai,77,public,yes
C08V1R3MCGH,proj-calendar-eng-x,22,public,yes
C08KE1S4XFE,proj-calendar-outlook,26,public,yes
C0ADW2EBLRE,proj-calendar-refresh-room-permissions,36,public,yes
C08LYNYU6UA,proj-canary-deployment,44,public,yes
C097Z3YA8R4,proj-ci-autofixer-feedback,40,public,yes
C0AGYGSRLDD,proj-cli,59,public,yes
C08V7610WJ1,proj-client-modularization,80,public,yes
C096L07SH47,proj-client-modularization-internal,42,public,yes
C0A2QPU9RU1,proj-client-router,32,public,yes
C080W8U56ES,proj-cloud-infra-platform,21,public,yes
C0AAGQMCYGK,proj-code-sharing-on-mobile,26,public,yes
C08AVRREYK0,proj-collection-limits,37,public,yes
C0A3WV71WSH,proj-collections-platform,24,public,yes
C08K77LFCR2,proj-collections-rearchitecture,29,public,yes
C09HDER0G72,proj-column-based-permissions,67,public,yes
C05A9CP9800,proj-command-search,26,public,yes
C09UMJN0LJ0,proj-commercial-ss-trials,39,public,yes
C06D13VCZ7X,proj-configuration-management,41,public,yes
C08BM05E8RG,proj-contact-sales-2025,40,public,yes
C07CVPESGQK,proj-content-freshness,35,public,yes
C08QHB3PN9H,proj-content-reskin-v2,59,public,yes
C07EY45F79N,proj-conversion-pod-h2,25,public,yes
C0A8C0N0WG7,proj-core-dbs,25,public,yes
C08AJ89CJNN,proj-core-web-26,62,public,yes
C09FB7XD430,proj-cove,27,public,yes
C0A2B3C802E,proj-create-orgs-without-domain-verification,28,public,yes
C07P02PR34P,proj-cross-workspace,29,public,yes
C0AS56S60UW,proj-custom-agent-analytics,29,public,yes
C096EJPQMNZ,proj-custom-agent-connections,225,public,yes
C0A582US29L,proj-custom-agent-hero-video,22,public,yes
C0A4E0J7MHP,proj-custom-agent-permissions,61,public,yes
C09QXCTQC06,proj-custom-agent-thumbsdown,45,public,yes
C092EQ70LUU,proj-custom-agents,537,public,yes
C096RA5JWJU,proj-custom-agents-feedback,506,public,yes
C06R71HKL72,proj-custom-emojis,51,public,yes
C087M9MTPE2,proj-custom-roles,33,public,yes
C0A8RSB76Q5,proj-custom-views,102,public,yes
C0AKKK8CZ7V,proj-customer-security-agent,21,public,yes
C0AM3FJHG9K,proj-cx-dev-platform-may-2026,24,public,yes
C090EF01K38,proj-cx-kcs,27,public,yes
C096W1G9W1X,proj-cx-segmentation,21,public,yes
C08JT030H6V,proj-cx-spring-moment-2025,27,public,yes
C080XJ5P1CM,proj-cx-tool-hex,29,public,yes
C09VC7FAU04,proj-cx-tp-psp,27,public,yes
C0A8Q4Y6K1B,proj-cx-tp-psp-zd-notifications,27,public,yes
C09CC0MNB17,proj-cx-ubp-and-custom-agents,74,public,yes
C09AUTKAT17,proj-dashboard-view,120,public,yes
C0715TM3CF9,proj-data-data-residency,50,public,yes
C07TT4DNVL1,proj-data-lakes-expansion,28,public,yes
C034P52R598,proj-data-loss,27,public,yes
C09FSTNLA7J,proj-data-quality-sfdc,26,public,yes
C06JF7H7K0A,proj-data-residency-alpha-with-ai,74,public,yes
C04MVTSLAKA,proj-data-residency-multi-cells,138,public,yes
C08901P7V19,proj-db-performance,51,public,yes
C08BJ2DQG64,proj-db-row-permissions,142,public,yes
C0A8WS0Q7E2,proj-db-thundering-herd,37,public,yes
C04TA6WQG82,proj-decoupling-models,24,public,yes
C095G4Z12NQ,proj-demo-videos,88,public,yes
C09PWSVPAGL,proj-desktop-nosey,29,public,yes
C0A6FTWTY6T,proj-developer-docs-migration,32,public,yes
C0ARBRBDT2N,proj-dg-ai-in-practice-exec-may-28,24,public,yes
C0AQ72W78RH,proj-dg-vip-dinner-nyc-april-8,24,public,yes
C0AQQ6BENHK,proj-dg-vip-dinner-sf-april-14,24,public,yes
C074RTCGH6G,proj-digest-email,54,public,yes
C06SVF59HR9,proj-domain-link-sharing,81,public,yes
C069MKMQ3SN,proj-dormant-accounts,28,public,yes
C03U02WSY3H,proj-drawing,46,public,yes
C09057HRLC9,proj-duplication-reliability,88,public,yes
C08QB1D4G04,proj-durable-workflows,42,public,yes
C0AP12QTZ8R,proj-dynamo-glow-up,33,public,yes
C081P2Z5E05,proj-edge-cache,50,public,yes
C0B4JQ25R6C,proj-edge-esmeralda,22,public,yes
C09JK2R2H3R,proj-edge-model-and-relations,45,public,yes
C078T0E206Q,proj-ekm,154,public,yes
C09L96SA6JU,proj-ekm-data,33,public,yes
C079H5A5ML4,proj-email-action,34,public,yes
C08QCG5RRQ9,proj-email-aliases,35,public,yes
C08N95HQU85,proj-embedding-platformization,22,public,yes
C04BQP3816J,proj-embeddings-scaling,48,public,yes
C04EKGXN0QL,proj-emea-customer-stories,60,public,yes
C0ABYJ54ZFB,proj-enterprise-api-platform,31,public,yes
C0A1952GQDP,proj-eval-agent,45,public,yes
C08A3BSTMJQ,proj-even-better-onboarding,36,public,yes
C06DAFLNLF9,proj-expansion-analysis-jan-2024,21,public,yes
C06HJB7SM62,proj-expansion-deep-dive-discussion,26,public,yes
C0ALL6BU7G8,proj-external-agents,130,public,yes
C09EJJYA2HK,proj-external-pages,30,public,yes
C0A4MB1V34H,proj-faster-data-migrations,32,public,yes
C0B5ACQAHGC,proj-files-and-folders,23,public,yes
C05NEJG1Z8V,proj-first-block,27,public,yes
C09D5UZGWBH,proj-fix-space-membership,47,public,yes
C09T4A77ADN,proj-fix-space-membership-internal,27,public,yes
C0A88HUSYR1,proj-flaky-failing-test-resolver,32,public,yes
C065YAMGBJL,proj-formal-proxy-postgres-access,48,public,yes
C043Q0UNS9M,proj-formulas,92,public,yes
C0AFK6HQE0P,proj-full-page-meeting-notes,27,public,yes
C08AMRWAZPX,proj-fy26-aws-events,22,public,yes
C0AG2C1AG9H,proj-g2-working-group,34,public,yes
C03EG7SASTS,proj-gainsight,56,public,yes
C09FB9VKCUX,proj-gcp,22,public,yes
C09UX2Y6QP2,proj-globis-offer,23,public,yes
